Datetime,Open,High,Low,Close,Volume,Sma,Atr
2022-01-23 01:00:00,1.057,1.075,1.0487,1.0705,31682034.0,1.0655380952380953,0.043326932393671615
2022-01-23 02:00:00,1.0706,1.0996,1.0603,1.0989,43649871.0,1.0638285714285716,0.04313517370825867
2022-01-23 03:00:00,1.0986,1.0995,1.0808,1.0826,27871885.0,1.061552380952381,0.0419715940078654
2022-01-23 04:00:00,1.0826,1.083,1.0498,1.0525,31964988.0,1.060085714285714,0.0415538990551099
2022-01-23 05:00:00,1.0527,1.0695,1.0519,1.0669,26040998.0,1.059952380952381,0.040413237195342754
2022-01-23 06:00:00,1.0669,1.0875,1.0612,1.085,31432945.0,1.0625,0.039741178281278815
2022-01-23 07:00:00,1.085,1.1133,1.0677,1.1066,60990007.0,1.0657619047619047,0.04002016979169411
2022-01-23 08:00:00,1.1066,1.112,1.0961,1.1032,40417277.0,1.0705285714285713,0.03887159027780391
2022-01-23 09:00:00,1.1032,1.1316,1.0961,1.1182,58335059.0,1.0743333333333334,0.03871103835981324
2022-01-23 10:00:00,1.1181,1.1349,1.112,1.1255,50071707.0,1.0790285714285712,0.0379581317712507
2022-01-23 11:00:00,1.1256,1.1687,1.1216,1.149,68989850.0,1.0816857142857141,0.03839345882976258
2022-01-23 12:00:00,1.149,1.1568,1.1325,1.1396,45950300.0,1.0828523809523811,0.03772234174263103
2022-01-23 13:00:00,1.1397,1.1427,1.1147,1.1198,40739415.0,1.0852761904761903,0.037259373088220034
2022-01-23 14:00:00,1.1198,1.1268,1.103,1.1231,42236095.0,1.0885285714285713,0.036618450560209556
2022-01-23 15:00:00,1.1231,1.133,1.1098,1.1287,35651585.0,1.0911285714285714,0.035979476724009106
2022-01-23 16:00:00,1.1284,1.1348,1.0756,1.0911,67329311.0,1.0928714285714285,0.03708521592762773
2022-01-23 17:00:00,1.0911,1.0997,1.0813,1.0929,35039685.0,1.0957238095238093,0.036195443740597834
2022-01-23 18:00:00,1.093,1.1134,1.09,1.095,43785485.0,1.0988857142857142,0.03558613689580745
2022-01-23 19:00:00,1.095,1.1089,1.0914,1.103,21444269.0,1.0999238095238095,0.03472489228172139
2022-01-23 20:00:00,1.1031,1.1047,1.0618,1.0679,52901805.0,1.0989,0.035114183125448936
2022-01-23 21:00:00,1.0677,1.0767,1.05,1.0578,45308344.0,1.0989428571428572,0.034713507738522796
2022-01-23 22:00:00,1.0577,1.082,1.0522,1.0743,37707273.0,1.0991238095238094,0.034479531179545525
2022-01-23 23:00:00,1.0742,1.0752,1.0625,1.0681,8563579.0,1.0976571428571429,0.03344241064718621
